id,should_trigger,expected_primary_reference,prompt
implicit-quick,true,none,"把空状态文案改成 No cards in this scope，直接处理并验证。"
implicit-debug,true,debug,"Learnt mutation 后旧 cursor 混入新 consistency，找到根因并修复。"
implicit-ui,true,none_or_execute,"修正手机 composer 多行时发送键位置，直接实现并做合适的交互验证。"
implicit-review,true,review,"审查当前 dirty diff，只报告真实可操作的 P0-P2 findings。"
implicit-receive-review,true,receive-review,"逐项核实这份 code review，落实有效意见并对错误建议给出技术理由。"
implicit-verify,true,verify,"检查当前 branch 是否 ready，并准确区分 verified 与 not verified。"
implicit-contract,true,plan_or_execute,"把 source_chunk_id 贯穿 artifact contract、producer、consumer 和 projection。"
implicit-common-cause,true,debug,"Dashboard、Chat、Memory 同时丢失用户状态，调查共享根因并修复。"
implicit-parallel,true,parallel,"三个独立平台 adapter 的测试组分别失败，并行只读调查后统一整合。"
negative-explanation,false,none,"解释 Git rebase 与 merge 的区别，不要操作仓库。"
negative-file-lookup,false,none,"这个 repo 的 MessageComposer 定义在哪？只告诉我文件位置。"
negative-casual,false,none,"我们随便聊聊为什么有些 AI coding workflow 会让人疲惫。"
negative-product-talk,false,none,"先不看代码，聊聊 Atria Home 应该给人什么感觉。"
negative-writing,false,none,"帮我把这段实习申请文字润色得更自然。"
explicit-debug,true,debug,"$soft-debug 复现并修复这个状态 bug。"
explicit-review,true,review,"$soft-review 审查当前 diff。"
